[2025-12-26T08:22:36.188+0000] {local_task_job_runner.py:120} INFO - ::group::Pre task execution logs
[2025-12-26T08:22:36.280+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: minio_to_snowflake.load_snowflake scheduled__2025-12-26T07:16:00+00:00 [queued]>
[2025-12-26T08:22:36.294+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: minio_to_snowflake.load_snowflake scheduled__2025-12-26T07:16:00+00:00 [queued]>
[2025-12-26T08:22:36.295+0000] {taskinstance.py:2306} INFO - Starting attempt 1 of 2
[2025-12-26T08:22:36.316+0000] {taskinstance.py:2330} INFO - Executing <Task(PythonOperator): load_snowflake> on 2025-12-26 07:16:00+00:00
[2025-12-26T08:22:36.346+0000] {standard_task_runner.py:90} INFO - Running: ['***', 'tasks', 'run', 'minio_to_snowflake', 'load_snowflake', 'scheduled__2025-12-26T07:16:00+00:00', '--job-id', '70', '--raw', '--subdir', 'DAGS_FOLDER/minio_to_snowflake.py', '--cfg-path', '/tmp/tmpkaa24b2s']
[2025-12-26T08:22:36.352+0000] {standard_task_runner.py:91} INFO - Job 70: Subtask load_snowflake
[2025-12-26T08:22:36.352+0000] {logging_mixin.py:188} WARNING - /home/***/.local/lib/python3.12/site-packages/***/task/task_runner/standard_task_runner.py:62 DeprecationWarning: This process (pid=3358) is multi-threaded, use of fork() may lead to deadlocks in the child.
[2025-12-26T08:22:36.354+0000] {standard_task_runner.py:64} INFO - Started process 3372 to run task
[2025-12-26T08:22:36.455+0000] {task_command.py:426} INFO - Running <TaskInstance: minio_to_snowflake.load_snowflake scheduled__2025-12-26T07:16:00+00:00 [running]> on host 9ba124033e2e
[2025-12-26T08:22:36.623+0000] {taskinstance.py:2648} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='***' AIRFLOW_CTX_DAG_ID='minio_to_snowflake' AIRFLOW_CTX_TASK_ID='load_snowflake' AIRFLOW_CTX_EXECUTION_DATE='2025-12-26T07:16:00+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='scheduled__2025-12-26T07:16:00+00:00'
[2025-12-26T08:22:36.625+0000] {taskinstance.py:430} INFO - ::endgroup::
[2025-12-26T08:22:36.680+0000] {connection.py:610} INFO - Snowflake Connector for Python Version: 4.1.1, Python Version: 3.12.4, Platform: Linux-6.6.87.2-microsoft-standard-WSL2-x86_64-with-glibc2.36
[2025-12-26T08:22:36.682+0000] {connection.py:1693} INFO - Connecting to GLOBAL Snowflake domain
[2025-12-26T08:22:39.785+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1766728889.json to Snowflake stage
[2025-12-26T08:22:40.045+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1766728900.json to Snowflake stage
[2025-12-26T08:22:40.367+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1766728911.json to Snowflake stage
