[2025-12-25T15:17:38.544+0000] {local_task_job_runner.py:120} INFO - ::group::Pre task execution logs
[2025-12-25T15:17:38.609+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: minio_to_snowflake.load_snowflake scheduled__2025-12-25T15:14:00+00:00 [queued]>
[2025-12-25T15:17:38.624+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: minio_to_snowflake.load_snowflake scheduled__2025-12-25T15:14:00+00:00 [queued]>
[2025-12-25T15:17:38.625+0000] {taskinstance.py:2306} INFO - Starting attempt 1 of 2
[2025-12-25T15:17:38.648+0000] {taskinstance.py:2330} INFO - Executing <Task(PythonOperator): load_snowflake> on 2025-12-25 15:14:00+00:00
[2025-12-25T15:17:38.671+0000] {standard_task_runner.py:90} INFO - Running: ['***', 'tasks', 'run', 'minio_to_snowflake', 'load_snowflake', 'scheduled__2025-12-25T15:14:00+00:00', '--job-id', '9', '--raw', '--subdir', 'DAGS_FOLDER/minio_to_snowflake.py', '--cfg-path', '/tmp/tmpvjhvajez']
[2025-12-25T15:17:38.676+0000] {standard_task_runner.py:91} INFO - Job 9: Subtask load_snowflake
[2025-12-25T15:17:38.677+0000] {logging_mixin.py:188} WARNING - /home/***/.local/lib/python3.12/site-packages/***/task/task_runner/standard_task_runner.py:62 DeprecationWarning: This process (pid=1385) is multi-threaded, use of fork() may lead to deadlocks in the child.
[2025-12-25T15:17:38.678+0000] {standard_task_runner.py:64} INFO - Started process 1399 to run task
[2025-12-25T15:17:38.784+0000] {task_command.py:426} INFO - Running <TaskInstance: minio_to_snowflake.load_snowflake scheduled__2025-12-25T15:14:00+00:00 [running]> on host 507725cbaced
[2025-12-25T15:17:38.943+0000] {taskinstance.py:2648} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='***' AIRFLOW_CTX_DAG_ID='minio_to_snowflake' AIRFLOW_CTX_TASK_ID='load_snowflake' AIRFLOW_CTX_EXECUTION_DATE='2025-12-25T15:14:00+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='scheduled__2025-12-25T15:14:00+00:00'
[2025-12-25T15:17:38.946+0000] {taskinstance.py:430} INFO - ::endgroup::
[2025-12-25T15:17:38.987+0000] {connection.py:610} INFO - Snowflake Connector for Python Version: 4.1.1, Python Version: 3.12.4, Platform: Linux-6.6.87.2-microsoft-standard-WSL2-x86_64-with-glibc2.36
[2025-12-25T15:17:38.990+0000] {connection.py:1693} INFO - Connecting to GLOBAL Snowflake domain
[2025-12-25T15:17:42.489+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1766675270.json to Snowflake stage
[2025-12-25T15:17:43.633+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1766675282.json to Snowflake stage
[2025-12-25T15:17:43.892+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1766675294.json to Snowflake stage
[2025-12-25T15:17:44.183+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1766675306.json to Snowflake stage
[2025-12-25T15:17:44.508+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1766675318.json to Snowflake stage
[2025-12-25T15:17:44.765+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1766675330.json to Snowflake stage
[2025-12-25T15:17:45.017+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1766675342.json to Snowflake stage
[2025-12-25T15:17:45.282+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1766675354.json to Snowflake stage
[2025-12-25T15:17:45.534+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1766675366.json to Snowflake stage
[2025-12-25T15:17:45.867+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1766675378.json to Snowflake stage
[2025-12-25T15:17:46.303+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1766675390.json to Snowflake stage
[2025-12-25T15:17:46.646+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1766675404.json to Snowflake stage
[2025-12-25T15:17:46.944+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1766675416.json to Snowflake stage
[2025-12-25T15:17:47.227+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1766675428.json to Snowflake stage
