[2025-12-23T11:59:45.057+0000] {local_task_job_runner.py:120} INFO - ::group::Pre task execution logs
[2025-12-23T11:59:45.127+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: minio_to_snowflake.load_snowflake scheduled__2025-12-23T11:52:00+00:00 [queued]>
[2025-12-23T11:59:45.145+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: minio_to_snowflake.load_snowflake scheduled__2025-12-23T11:52:00+00:00 [queued]>
[2025-12-23T11:59:45.147+0000] {taskinstance.py:2306} INFO - Starting attempt 1 of 2
[2025-12-23T11:59:45.176+0000] {taskinstance.py:2330} INFO - Executing <Task(PythonOperator): load_snowflake> on 2025-12-23 11:52:00+00:00
[2025-12-23T11:59:45.211+0000] {standard_task_runner.py:90} INFO - Running: ['***', 'tasks', 'run', 'minio_to_snowflake', 'load_snowflake', 'scheduled__2025-12-23T11:52:00+00:00', '--job-id', '73', '--raw', '--subdir', 'DAGS_FOLDER/minio_to_snowflake.py', '--cfg-path', '/tmp/tmp7fu0x2em']
[2025-12-23T11:59:45.220+0000] {standard_task_runner.py:91} INFO - Job 73: Subtask load_snowflake
[2025-12-23T11:59:45.221+0000] {logging_mixin.py:188} WARNING - /home/***/.local/lib/python3.12/site-packages/***/task/task_runner/standard_task_runner.py:62 DeprecationWarning: This process (pid=22082) is multi-threaded, use of fork() may lead to deadlocks in the child.
[2025-12-23T11:59:45.222+0000] {standard_task_runner.py:64} INFO - Started process 22096 to run task
[2025-12-23T11:59:45.362+0000] {task_command.py:426} INFO - Running <TaskInstance: minio_to_snowflake.load_snowflake scheduled__2025-12-23T11:52:00+00:00 [running]> on host 5b5bed255d0d
[2025-12-23T11:59:45.589+0000] {taskinstance.py:2648} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='***' AIRFLOW_CTX_DAG_ID='minio_to_snowflake' AIRFLOW_CTX_TASK_ID='load_snowflake' AIRFLOW_CTX_EXECUTION_DATE='2025-12-23T11:52:00+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='scheduled__2025-12-23T11:52:00+00:00'
[2025-12-23T11:59:45.591+0000] {taskinstance.py:430} INFO - ::endgroup::
[2025-12-23T11:59:45.645+0000] {connection.py:408} INFO - Snowflake Connector for Python Version: 3.11.0, Python Version: 3.12.4, Platform: Linux-6.6.87.2-microsoft-standard-WSL2-x86_64-with-glibc2.36
[2025-12-23T11:59:45.647+0000] {connection.py:1258} INFO - This connection is in OCSP Fail Open Mode. TLS Certificates would be checked for validity and revocation status. Any other Certificate Revocation related exceptions or OCSP Responder failures would be disregarded in favor of connectivity.
[2025-12-23T11:59:47.773+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1766488206.json to Snowflake stage
[2025-12-23T11:59:48.031+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1766488217.json to Snowflake stage
[2025-12-23T11:59:48.290+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1766488228.json to Snowflake stage
[2025-12-23T11:59:48.546+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1766488241.json to Snowflake stage
[2025-12-23T11:59:48.807+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1766488252.json to Snowflake stage
[2025-12-23T11:59:49.067+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1766488263.json to Snowflake stage
[2025-12-23T11:59:49.326+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1766488274.json to Snowflake stage
[2025-12-23T11:59:49.586+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1766488286.json to Snowflake stage
[2025-12-23T11:59:49.850+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1766488297.json to Snowflake stage
[2025-12-23T11:59:50.105+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1766488308.json to Snowflake stage
[2025-12-23T11:59:50.390+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1766488319.json to Snowflake stage
[2025-12-23T11:59:50.643+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1766488331.json to Snowflake stage
[2025-12-23T11:59:50.945+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1766488343.json to Snowflake stage
[2025-12-23T11:59:51.256+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1766488355.json to Snowflake stage
[2025-12-23T11:59:51.528+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1766488367.json to Snowflake stage
