[2025-12-26T06:55:41.513+0000] {local_task_job_runner.py:120} INFO - ::group::Pre task execution logs
[2025-12-26T06:55:41.577+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: minio_to_snowflake.download_minio scheduled__2025-12-26T06:54:00+00:00 [queued]>
[2025-12-26T06:55:41.590+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: minio_to_snowflake.download_minio scheduled__2025-12-26T06:54:00+00:00 [queued]>
[2025-12-26T06:55:41.591+0000] {taskinstance.py:2306} INFO - Starting attempt 1 of 2
[2025-12-26T06:55:41.613+0000] {taskinstance.py:2330} INFO - Executing <Task(PythonOperator): download_minio> on 2025-12-26 06:54:00+00:00
[2025-12-26T06:55:41.635+0000] {standard_task_runner.py:90} INFO - Running: ['***', 'tasks', 'run', 'minio_to_snowflake', 'download_minio', 'scheduled__2025-12-26T06:54:00+00:00', '--job-id', '26', '--raw', '--subdir', 'DAGS_FOLDER/minio_to_snowflake.py', '--cfg-path', '/tmp/tmp1b0oyvj9']
[2025-12-26T06:55:41.641+0000] {standard_task_runner.py:91} INFO - Job 26: Subtask download_minio
[2025-12-26T06:55:41.641+0000] {logging_mixin.py:188} WARNING - /home/***/.local/lib/python3.12/site-packages/***/task/task_runner/standard_task_runner.py:62 DeprecationWarning: This process (pid=13328) is multi-threaded, use of fork() may lead to deadlocks in the child.
[2025-12-26T06:55:41.643+0000] {standard_task_runner.py:64} INFO - Started process 13342 to run task
[2025-12-26T06:55:41.755+0000] {task_command.py:426} INFO - Running <TaskInstance: minio_to_snowflake.download_minio scheduled__2025-12-26T06:54:00+00:00 [running]> on host 3fb2a1a27553
[2025-12-26T06:55:41.919+0000] {taskinstance.py:2648} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='***' AIRFLOW_CTX_DAG_ID='minio_to_snowflake' AIRFLOW_CTX_TASK_ID='download_minio' AIRFLOW_CTX_EXECUTION_DATE='2025-12-26T06:54:00+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='scheduled__2025-12-26T06:54:00+00:00'
[2025-12-26T06:55:41.921+0000] {taskinstance.py:430} INFO - ::endgroup::
[2025-12-26T06:55:45.264+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1766728889.json -> /tmp/minio_downloads/1766728889.json
[2025-12-26T06:55:45.291+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1766728900.json -> /tmp/minio_downloads/1766728900.json
[2025-12-26T06:55:45.321+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1766728911.json -> /tmp/minio_downloads/1766728911.json
[2025-12-26T06:55:45.339+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1766728923.json -> /tmp/minio_downloads/1766728923.json
[2025-12-26T06:55:45.363+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1766728935.json -> /tmp/minio_downloads/1766728935.json
