[2025-12-26T06:35:36.389+0000] {local_task_job_runner.py:120} INFO - ::group::Pre task execution logs
[2025-12-26T06:35:36.458+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: minio_to_snowflake.load_snowflake scheduled__2025-12-26T06:29:00+00:00 [queued]>
[2025-12-26T06:35:36.474+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: minio_to_snowflake.load_snowflake scheduled__2025-12-26T06:29:00+00:00 [queued]>
[2025-12-26T06:35:36.475+0000] {taskinstance.py:2306} INFO - Starting attempt 1 of 2
[2025-12-26T06:35:36.499+0000] {taskinstance.py:2330} INFO - Executing <Task(PythonOperator): load_snowflake> on 2025-12-26 06:29:00+00:00
[2025-12-26T06:35:36.536+0000] {logging_mixin.py:188} WARNING - /home/***/.local/lib/python3.12/site-packages/***/task/task_runner/standard_task_runner.py:62 DeprecationWarning: This process (pid=6554) is multi-threaded, use of fork() may lead to deadlocks in the child.
[2025-12-26T06:35:36.525+0000] {standard_task_runner.py:90} INFO - Running: ['***', 'tasks', 'run', 'minio_to_snowflake', 'load_snowflake', 'scheduled__2025-12-26T06:29:00+00:00', '--job-id', '17', '--raw', '--subdir', 'DAGS_FOLDER/minio_to_snowflake.py', '--cfg-path', '/tmp/tmp2nwykllw']
[2025-12-26T06:35:36.538+0000] {standard_task_runner.py:64} INFO - Started process 6568 to run task
[2025-12-26T06:35:36.538+0000] {standard_task_runner.py:91} INFO - Job 17: Subtask load_snowflake
[2025-12-26T06:35:36.675+0000] {task_command.py:426} INFO - Running <TaskInstance: minio_to_snowflake.load_snowflake scheduled__2025-12-26T06:29:00+00:00 [running]> on host 3fb2a1a27553
[2025-12-26T06:35:36.879+0000] {taskinstance.py:2648} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='***' AIRFLOW_CTX_DAG_ID='minio_to_snowflake' AIRFLOW_CTX_TASK_ID='load_snowflake' AIRFLOW_CTX_EXECUTION_DATE='2025-12-26T06:29:00+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='scheduled__2025-12-26T06:29:00+00:00'
[2025-12-26T06:35:36.882+0000] {taskinstance.py:430} INFO - ::endgroup::
[2025-12-26T06:35:36.941+0000] {connection.py:610} INFO - Snowflake Connector for Python Version: 4.1.1, Python Version: 3.12.4, Platform: Linux-6.6.87.2-microsoft-standard-WSL2-x86_64-with-glibc2.36
[2025-12-26T06:35:36.944+0000] {connection.py:1693} INFO - Connecting to GLOBAL Snowflake domain
[2025-12-26T06:35:40.619+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1766728889.json to Snowflake stage
[2025-12-26T06:35:40.883+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1766728900.json to Snowflake stage
[2025-12-26T06:35:41.155+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1766728911.json to Snowflake stage
