[2025-12-26T08:57:27.007+0000] {local_task_job_runner.py:120} INFO - ::group::Pre task execution logs
[2025-12-26T08:57:27.128+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: minio_to_snowflake.load_snowflake scheduled__2025-12-26T08:45:00+00:00 [None]>
[2025-12-26T08:57:27.151+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: minio_to_snowflake.load_snowflake scheduled__2025-12-26T08:45:00+00:00 [None]>
[2025-12-26T08:57:27.153+0000] {taskinstance.py:2306} INFO - Starting attempt 1 of 2
[2025-12-26T08:57:27.183+0000] {taskinstance.py:2330} INFO - Executing <Task(PythonOperator): load_snowflake> on 2025-12-26 08:45:00+00:00
[2025-12-26T08:57:27.217+0000] {standard_task_runner.py:90} INFO - Running: ['***', 'tasks', 'run', 'minio_to_snowflake', 'load_snowflake', 'scheduled__2025-12-26T08:45:00+00:00', '--job-id', '91', '--raw', '--subdir', 'DAGS_FOLDER/minio_to_snowflake.py', '--cfg-path', '/tmp/tmpg333l35n']
[2025-12-26T08:57:27.224+0000] {standard_task_runner.py:91} INFO - Job 91: Subtask load_snowflake
[2025-12-26T08:57:27.225+0000] {logging_mixin.py:188} WARNING - /home/***/.local/lib/python3.12/site-packages/***/task/task_runner/standard_task_runner.py:62 DeprecationWarning: This process (pid=19913) is multi-threaded, use of fork() may lead to deadlocks in the child.
[2025-12-26T08:57:27.227+0000] {standard_task_runner.py:64} INFO - Started process 19927 to run task
[2025-12-26T08:57:27.374+0000] {task_command.py:426} INFO - Running <TaskInstance: minio_to_snowflake.load_snowflake scheduled__2025-12-26T08:45:00+00:00 [running]> on host 9ba124033e2e
[2025-12-26T08:57:27.661+0000] {taskinstance.py:2648} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='***' AIRFLOW_CTX_DAG_ID='minio_to_snowflake' AIRFLOW_CTX_TASK_ID='load_snowflake' AIRFLOW_CTX_EXECUTION_DATE='2025-12-26T08:45:00+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='scheduled__2025-12-26T08:45:00+00:00'
[2025-12-26T08:57:27.665+0000] {taskinstance.py:430} INFO - ::endgroup::
[2025-12-26T08:57:27.745+0000] {connection.py:610} INFO - Snowflake Connector for Python Version: 4.1.1, Python Version: 3.12.4, Platform: Linux-6.6.87.2-microsoft-standard-WSL2-x86_64-with-glibc2.36
[2025-12-26T08:57:27.747+0000] {connection.py:1693} INFO - Connecting to GLOBAL Snowflake domain
